[16:06:49] [INFO] received Windows console close event; shutting log-core down
[16:07:09] [INFO] received Windows console close event; shutting log-core down
[16:07:18] [INFO] received Windows console close event; shutting log-core down
[16:08:37] [INFO] received Windows console close event; shutting log-core down
[16:08:51] [INFO] received Windows console close event; shutting log-core down
[16:09:26] [INFO] received Windows console close event; shutting log-core down
[16:17:38] [INFO] received Windows console close event; shutting log-core down
[16:21:37] [INFO] received Windows console close event; shutting log-core down
[16:22:26] [INFO] received Windows console close event; shutting log-core down
[21:11:45] [INFO] received Windows console close event; shutting log-core down
[11:40:38] [INFO] received Windows console close event; shutting log-core down
[11:45:46] [INFO] received Windows console close event; shutting log-core down
[11:46:29] [INFO] received Windows console close event; shutting log-core down
